city_id,city_name,country_name,country_id
1,City of Goiânia,Brazil,3
2,Guarco,Costa Rica,6
3,Alcaldía Distrital de Santa Marta,Colombia,5
4,Corrales,Colombia,5
5,City of Buenos Aires,Argentina,1
6,Prefeitura de Caruaru,Brazil,3
7,Municipality of Recife,Brazil,3
8,Prefeitura Municipal de Araçatuba,Brazil,3
9,Municipalidad de Independencia,Chile,4
10,Mongui,Colombia,5
11,Municipio de Iztapa,Guatemala,8
12,Busbanza,Colombia,5
13,Municipalidad de Miraflores,Peru,13
14,Coatzacoalcos,Mexico,10
15,Municipalidad de Machu Picchu,Mexico,13
16,Municipalidad de La Paz,Bolivia,2
17,Prefeitura de Boa Ventura,Brazil,3
18,Santa Fé Ciudad,Argentina,1
19,Municipalidad de Machu Picchu,Peru,13
20,Alcaldía de Tegucigalpa,Honduras,9
21,Ayuntamiento de Morelia,Mexico,10
22,Prefeitura de Aracaju,Brazil,3
23,Alcaldía de Villavicencio,Colombia,5
24,Alcaldia de Montería,Colombia,5
25,Municipalidad de Copiapó,Chile,4
26,Municipality of Porto Alegre,Brazil,3
27,Municipality of San Antonio de Areco,Argentina,1
28,Concejo Municipal de Distrito de Monte Verde,Costa Rica,6
29,Municipio de Iztapa,Guatemala,8
30,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico,10
31,Prefeitura de Iperó,Brazil,3
32,Ayuntamiento de Puerto Vallarta,Mexico,10
33,Alcaldia de Pereira,Colombia,5
34,Municipio de Bucaramanga,Colombia,5
35,City of Salvador,Brazil,3
36,Prefeitura de Cordeirópolis,Brazil,3
37,Prefeitura de Brumadinho,Brazil,3
38,Ramona,Argentina,1
39,Municipio de Chitré,Panama,11
40,Beteitiva,Colombia,5
41,Prefeitura Municipal de Canoas,Brazil,3
42,Municipio de Torreón,Mexico,10
43,Municipalidad de Belén,Costa Rica,6
44,Bogotá Distrito Capital,Colombia,5
45,Municipalidad de Desamparados,Costa Rica,6
46,Municipio de San Pedro de Urabá,Colombia,5
47,City of Monterrey,Mexico,10
48,Aipromades Lago de Chapala,Mexico,10
