1,21.151.189.47,desktop,OS X,Safari
2,217.181.132.243,smartphone,OS X,Opera
4,2.188.94.105,desktop,Windows,Puffin
6,81.49.28.65,desktop,OS X,Firefox
7,222.82.129.76,TV,Unknown,Opera
8,248.148.73.202,smartphone,OS X,Puffin
9,120.146.214.66,TV,Unknown,Puffin
10,18.207.84.18,desktop,Others,Other
12,78.171.121.209,desktop,Windows,Puffin
13,130.31.120.22,TV,Unknown,Firefox
14,238.188.94.170,desktop,Others,Samsung Internet
15,25.223.123.250,smartphone,Others,Firefox
16,53.124.195.134,desktop,Others,Android
17,96.26.206.117,desktop,Windows,Firefox
19,31.214.78.80,smartphone,Others,Samsung Internet
20,194.8.111.27,TV,Unknown,Edge
21,156.234.113.80,desktop,Windows,Chrome
22,237.236.73.91,smartphone,OS X,Unknown
23,73.193.32.125,smartphone,Others,Other
25,242.112.76.249,desktop,Chrome OS,Chrome
26,134.112.22.133,desktop,Linux,Chromium
27,237.69.164.239,desktop,OS X,Firefox
28,4.0.238.219,desktop,Chrome OS,Chrome
29,132.128.61.53,desktop,Linux,Unknown
30,46.108.102.113,desktop,Chrome OS,Chrome
31,181.228.4.53,desktop,Others,Chrome
32,109.183.245.180,smartphone,OS X,Firefox
33,138.167.186.63,desktop,Others,Unknown
34,142.48.158.172,desktop,Chrome OS,Chrome
35,124.158.159.183,TV,Unknown,Firefox
36,9.242.57.232,smartphone,OS X,Unknown
37,191.104.97.235,TV,Unknown,Safari
38,183.225.180.122,smartphone,Others,Chrome
39,197.249.33.85,desktop,Windows,Opera
40,25.124.9.162,smartphone,Others,Android
41,132.176.113.152,smartphone,Others,Android
42,14.24.175.93,desktop,Chrome OS,Chrome
43,131.217.102.236,desktop,Windows,Firefox
44,83.80.19.158,smartphone,OS X,Firefox
46,175.40.237.211,TV,Unknown,Puffin
47,142.102.128.251,smartphone,Others,Unknown
48,96.110.156.76,TV,Unknown,Other
49,24.5.210.127,smartphone,OS X,KaiOS
50,179.43.109.197,smartphone,OS X,Puffin
51,126.181.101.17,desktop,Windows,Puffin
52,247.86.30.199,TV,Unknown,Puffin
53,231.175.156.197,desktop,OS X,Opera
54,37.187.120.210,desktop,Others,Chrome
55,163.20.189.126,smartphone,OS X,Firefox
56,136.109.249.69,desktop,Others,Unknown
57,251.18.67.102,smartphone,Others,Unknown
58,198.238.17.250,TV,Unknown,Unknown
59,130.180.98.31,smartphone,OS X,Firefox
60,108.83.92.12,desktop,Others,Chrome
61,175.123.88.32,TV,Unknown,Puffin
62,73.56.241.167,desktop,Linux,Firefox
63,75.188.39.77,TV,Unknown,KaiOS
64,0.140.37.222,smartphone,Others,Samsung Internet
65,243.148.43.128,desktop,OS X,KaiOS
66,86.26.140.226,desktop,Linux,Firefox
